tweet_id,retweet_count,favorite_count
834209720923721728,4316,19203
834167344700198914,3353,14807
834089966724603904,1960,9429
834086379323871233,2037,12215
833863086058651648,2204,12582
833826103416520705,3482,17043
833732339549220864,203,0
833722901757046785,2991,19640
833479644947025920,1885,13974
833124694597443584,4432,18954
832998151111966721,2007,12402
832769181346996225,38,0
832757312314028032,3312,15820
832682457690300417,2660,11117
832645525019123713,484,2730
832636094638288896,2553,14861
832397543355072512,2034,11215
832369877331693569,2913,16038
832273440279240704,2139,10631
832215909146226688,5705,0
832215726631055365,8564,0
832088576586297345,2,59
832040443403784192,8796,0
832032802820481025,4291,16735
831939777352105988,5642,22425
831926988323639298,34,319
831911600680497154,5956,25768
831670449226514432,1685,9767
831650051525054464,1782,6668
831552930092285952,2154,8439
831322785565769729,1438,8729
831315979191906304,1035,6159
831309418084069378,2256,11061
831262627380748289,1883,11131
830956169170665475,1373,7493
830583320585068544,15365,62249
830173239259324417,5224,0
830097400375152640,2686,9133
829878982036299777,4589,0
829861396166877184,1789,11491
829501995190984704,9742,29815
829449946868879360,1854,9846
829141528400556032,6746,22841
829011960981237760,15054,50153
828801551087042563,3150,0
828770345708580865,5378,24019
828708714936930305,10288,34161
828650029636317184,1232,8929
828409743546925057,1078,6031
828408677031882754,1182,7232
828381636999917570,2054,11832
828376505180889089,990,6969
828372645993398273,2720,11840
828361771580813312,165,2063
828046555563323392,2647,11026
828011680017821696,1981,9749
827933404142436356,4812,18788
827653905312006145,2787,14553
827600520311402496,863,7044
827324948884643840,2798,14903
827199976799354881,2055,9969
826958653328592898,4589,20258
826848821049180160,9305,33951
826615380357632002,3669,0
826598799820865537,229,4845
826598365270007810,2173,9420
826476773533745153,3882,17323
826240494070030336,2410,12498
826204788643753985,855,4585
826115272272650244,2857,14701
825876512159186944,1733,9900
825829644528148480,2324,11984
825535076884762624,16303,53813
825147591692263424,4167,17206
825120256414846976,1165,0
825026590719483904,1165,5889
824796380199809024,5078,0
824775126675836928,3259,14016
824663926340194305,1635,9919
824325613288833024,9854,11141
824297048279236611,3553,14179
824025158776213504,556,4566
823939628516474880,2522,10036
823719002937630720,10312,0
823699002998870016,2330,13166
823581115634085888,2433,12221
823333489516937216,22,662
823322678127919110,3704,14776
823269594223824897,9184,0
822975315408461824,3188,16325
822872901745569793,39756,123691
822859134160621569,2104,12412
822647212903690241,5932,0
822610361945911296,2720,13930
822489057087389700,5932,17059
822462944365645825,13078,26208
822244816520155136,9184,33007
822163064745328640,4352,0
821886076407029760,2131,10636
821813639212650496,3115,0
821765923262631936,1553,7886
821522889702862852,1625,7544
821421320206483457,5107,0
821407182352777218,3978,11070
821153421864615936,8,236
821149554670182400,1818,8086
821107785811234820,1963,9033
821044531881721856,2115,11908
820837357901512704,6213,0
820749716845686786,9156,29720
820690176645140481,2990,11558
820494788566847489,521,0
820446719150292993,2383,0
820314633777061888,521,3152
820078625395449857,5762,18570
820013781606658049,1079,0
819952236453363712,1079,5004
819924195358416896,4527,12198
819711362133872643,2856,12579
819588359383371776,1864,9126
819347104292290561,1115,6810
819238181065359361,378,2133
819227688460238848,6213,21732
819015337530290176,34417,0
819015331746349057,17723,0
819006400881917954,17723,42881
819004803107983360,34417,82412
818646164899774465,19360,0
818627210458333184,7037,21165
818614493328580609,2345,9270
818588835076603904,5669,0
818536468981415936,2263,10242
818307523543449600,7420,0
818259473185828864,2073,10380
818145370475810820,2360,11583
817908911860748288,738,4594
817827839487737858,25008,48442
817777686764523521,2513,10192
817536400337801217,2719,11080
817502432452313088,3131,0
817423860136083457,13528,31732
817415592588222464,885,5281
817181837579653120,7834,0
817171292965273600,1857,8282
817120970343411712,2404,11506
817056546584727552,1509,8108
816829038950027264,4371,0
816816676327063552,1885,9449
816697700272001025,2046,9213
816450570814898180,7420,28576
816336735214911488,1793,8147
816091915477250048,1978,8463
816062466425819140,942,0
816014286006976512,4861,0
815990720817401858,942,4679
815966073409433600,7834,21062
815745968457060357,3841,0
815736392542261248,2108,9276
815639385530101762,1547,7800
815390420867969024,3551,9798
814986499976527872,1183,7230
814638523311648768,2515,10659
814578408554463233,5438,0
814530161257443328,1732,8189
814153002265309185,8074,27151
813944609378369540,2944,0
813910438903693312,1724,8830
813812741911748608,12990,34518
813800681631023104,1640,7866
813217897535406080,6824,17624
813202720496779264,1700,8740
813187593374461952,4030,18758
813172488309972993,1800,8777
813157409116065792,2059,7355
813142292504645637,2237,8060
813130366689148928,418,4253
813127251579564032,2910,11180
813112105746448384,2555,9771
813096984823349248,3368,10002
813081950185472002,2586,9400
813066809284972545,1821,7527
813051746834595840,6818,19863
812781120811126785,1783,7128
812709060537683968,1347,6273
812503143955202048,1147,5721
812466873996607488,1796,7554
812372279581671427,3410,12892
811985624773361665,1304,6892
811744202451197953,1467,7132
811647686436880384,680,5300
811627233043480576,2837,12035
811386762094317568,5956,19794
810984652412424192,1325,5035
810896069567610880,1637,8502
810657578271330305,2460,10395
810284430598270976,10461,33191
810254108431155201,3150,13930
809920764300447744,3669,14740
809808892968534016,4557,0
809448704142938112,1361,6587
809220051211603969,5224,18810
809084759137812480,3282,12523
808838249661788160,2856,9615
808733504066486276,2028,7471
808501579447930884,2448,10720
808344865868283904,19360,40044
808134635716833280,5490,0
808106460588765185,2062,8368
808001312164028416,3295,11808
807621403335917568,3372,13806
807106840509214720,51427,111198
807059379405148160,6864,0
807010152071229440,3614,12427
806629075125202948,32227,70326
806620845233815552,5125,0
